City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
157,richards bay,0,ZA,1548903318,77,-28.77,32.06,72.86,11.56
158,igarka,0,RU,1548903577,0,67.47,86.57,-51.61,5.64
159,beringovskiy,32,RU,1548903305,85,63.05,179.32,2.93,8.1
160,lazaro cardenas,40,MX,1548898800,32,28.39,-105.62,51.8,3.36
161,manzanillo,76,CU,1548903578,100,20.34,-77.12,75.56,19.39
162,bubaque,12,GW,1548903578,100,11.28,-15.83,76.28,9.55
163,pacific grove,90,US,1548901800,71,36.62,-121.92,59.0,8.05
164,geraldton,75,CA,1548900000,61,49.72,-86.95,-20.21,11.41
165,taksimo,20,RU,1548903428,65,56.36,114.84,-24.7,2.39
166,san andres,24,PH,1548903580,97,13.32,122.68,78.94,10.89
167,broken hill,0,AU,1548900000,39,-31.97,141.45,78.8,16.11
168,sioux lookout,5,CA,1548900000,73,50.1,-91.92,-27.41,3.36
169,mocuba,0,MZ,1548903580,92,-16.84,36.99,68.36,2.73
170,dokka,88,NO,1548903581,91,60.83,10.07,9.64,2.51
171,pangoa,68,PE,1548903581,100,-12.12,-73.0,63.73,1.61
172,talnakh,0,RU,1548903390,0,69.49,88.39,-52.51,3.29
173,chokurdakh,0,RU,1548903352,0,70.62,147.9,-50.85,2.95
174,new norfolk,75,AU,1548901800,47,-42.78,147.06,59.0,16.11
175,te anau,88,NZ,1548903261,48,-45.41,167.72,74.75,14.03
176,padang,5,ID,1548901800,62,-0.92,100.36,86.0,2.24
177,isangel,76,VU,1548903303,99,-19.55,169.27,80.24,15.48
178,baiyin,0,CN,1548900000,72,36.55,104.13,10.4,4.47
179,severo-kurilsk,88,RU,1548903268,100,50.68,156.12,31.24,9.33
180,lompoc,1,US,1548902100,87,34.64,-120.46,57.92,4.7
181,omsukchan,76,RU,1548903296,73,62.53,155.8,-18.31,3.62
182,doka,0,SD,1548903584,63,13.52,35.76,67.69,8.66
183,buala,36,SB,1548903584,90,-8.15,159.59,83.44,10.11
184,awjilah,20,LY,1548903585,41,29.14,21.3,45.68,11.12
185,thayetmyo,0,MM,1548903585,72,19.32,95.18,68.9,12.46
186,saint-pierre,90,FR,1548900000,89,48.95,4.24,33.8,4.7
187,la ronge,75,CA,1548900000,62,55.1,-105.3,-13.01,11.41
188,monte alegre,68,BR,1548903586,92,-2.0,-54.07,76.19,2.73
189,black river,75,JM,1548900000,83,18.03,-77.85,75.2,9.17
190,georgetown,75,GY,1548900000,100,6.8,-58.16,75.2,4.7
191,palmer,90,US,1548902040,100,61.6,-149.11,32.0,2.39
192,lagoa,40,PT,1548900000,93,37.14,-8.45,57.2,18.34
193,maksatikha,88,RU,1548903588,96,57.8,35.88,27.91,6.53
